track 1: NOT RECOGNIZED — rejected: extreme yaw x1
track 2: IDENTIFIED as 28 (CANDIDATE, conf=0.71)
track 575: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 576: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 577: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 579: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 580: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 581: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 583: IDENTIFIED as 28 (REVIEW_REQUIRED, conf=0.92)
track 584: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 585: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 586: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 587: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 589: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 590: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 591: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 593: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 594: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 595: IDENTIFIED as 30 (CANDIDATE, conf=0.40)
track 597: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 598: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 599: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 601: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 602: IDENTIFIED as 30 (UNKNOWN, conf=0.39)
track 603: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 604: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 605: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 606: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 608: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 609: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 610: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 611: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 613: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 614: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 616: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 618: IDENTIFIED as 30 (UNKNOWN, conf=0.40)
track 621: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 622: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 624: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 625: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 626: IDENTIFIED as 28 (CONFIRMED, conf=0.70)
track 628: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 629: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 630: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 631: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 634: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 636: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 637: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 639: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 640: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 642: IDENTIFIED as 10 (UNKNOWN, conf=0.45)
track 643: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 645: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 647: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 649: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 650: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 651: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 652: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 653: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 654: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 657: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 658: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 660: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 661: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 662: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 665: IDENTIFIED as 14 (UNKNOWN, conf=0.45)
track 666: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 667: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 668: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 670: IDENTIFIED as 30 (UNKNOWN, conf=0.36)
track 671: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 673: IDENTIFIED as 30 (UNKNOWN, conf=0.39)
track 674: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 675: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 676: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 677: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 678: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 679: IDENTIFIED as 23 (UNKNOWN, conf=0.36)
track 680: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 681: IDENTIFIED as 30 (UNKNOWN, conf=0.59)
track 684: IDENTIFIED as 28 (CANDIDATE, conf=0.82)
track 685: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 686: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 687: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
track 688: IDENTIFIED as 30 (UNKNOWN, conf=0.45)
