track 2: IDENTIFIED as 03 (UNKNOWN, conf=0.45)
track 934: IDENTIFIED as 28 (CANDIDATE, conf=0.81)
track 935: IDENTIFIED as 26 (CANDIDATE, conf=0.50)
track 936: NOT RECOGNIZED — face never detected (5 looks)
track 938: NOT RECOGNIZED — face never detected (21 looks)
track 939: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 941: NOT RECOGNIZED — face never detected (12 looks)
track 942: NOT RECOGNIZED — face never detected (3 looks)
track 943: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 944: NOT RECOGNIZED — face never detected (6 looks)
track 946: NOT RECOGNIZED — face never detected (32 looks)
track 947: IDENTIFIED as 28 (CANDIDATE, conf=0.57)
track 949: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 950: NOT RECOGNIZED — best sim 0.35 -> 10 (threshold 0.45)
track 952: IDENTIFIED as 23 (UNKNOWN, conf=0.59)
track 953: NOT RECOGNIZED — face never detected (3 looks)
track 954: NOT RECOGNIZED — face never detected (18 looks)
track 957: NOT RECOGNIZED — face never detected (53 looks)
track 958: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 959: IDENTIFIED as 28 (CANDIDATE, conf=0.72)
track 960: NOT RECOGNIZED — face never detected (19 looks)
track 962: NOT RECOGNIZED — face never detected (6 looks)
track 964: NOT RECOGNIZED — face never detected (9 looks)
track 966: NOT RECOGNIZED — best sim 0.32 -> 01 (threshold 0.45)
track 967: IDENTIFIED as 05 (UNKNOWN, conf=0.54)
track 968: NOT RECOGNIZED — face never detected (23 looks)
track 970: IDENTIFIED as 05 (UNKNOWN, conf=0.61)
track 972: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 974: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 975: NOT RECOGNIZED — face never detected (10 looks)
track 976: NOT RECOGNIZED — face never detected (4 looks)
track 977: NOT RECOGNIZED — face never detected (20 looks)
track 978: NOT RECOGNIZED — face never detected (7 looks)
track 979: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 981: NOT RECOGNIZED — face never detected (12 looks)
track 985: NOT RECOGNIZED — face never detected (18 looks)
track 986: NOT RECOGNIZED — face never detected (25 looks)
track 987: NOT RECOGNIZED — face never detected (82 looks)
track 989: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 990: NOT RECOGNIZED — face never detected (8 looks)
track 991: NOT RECOGNIZED — best sim 0.36 -> 30 (threshold 0.45)
track 992: NOT RECOGNIZED — best sim 0.37 -> 28 (threshold 0.45)
track 994: NOT RECOGNIZED — face never detected (5 looks)
track 997: IDENTIFIED as 01 (UNKNOWN, conf=0.56)
track 999: NOT RECOGNIZED — best sim 0.44 -> 28 (threshold 0.45)
track 1000: NOT RECOGNIZED — best sim 0.35 -> 09 (threshold 0.45)
track 1001: IDENTIFIED as 05 (UNKNOWN, conf=0.52)
track 1004: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 1007: NOT RECOGNIZED — best sim 0.38 -> 28 (threshold 0.45)
track 1008: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 1009: NOT RECOGNIZED — face never detected (295 looks)
track 1011: NOT RECOGNIZED — best sim 0.32 -> 08 (threshold 0.45)
track 1012: NOT RECOGNIZED — face never detected (1 looks)
track 1014: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 1015: NOT RECOGNIZED — best sim 0.36 -> 26 (threshold 0.45)
track 1017: NOT RECOGNIZED — face never detected (161 looks)
track 1019: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 1021: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 1022: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 1024: NOT RECOGNIZED — face never detected (2 looks)
track 1027: NOT RECOGNIZED — face never detected (10 looks)
track 1029: NOT RECOGNIZED — face never detected (16 looks)
track 1030: IDENTIFIED as 11 (UNKNOWN, conf=0.38)
track 1032: NOT RECOGNIZED — rejected: extreme yaw x2
track 1033: IDENTIFIED as 11 (UNKNOWN, conf=0.62)
track 1034: NOT RECOGNIZED — face never detected (10 looks)
track 1035: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 1036: IDENTIFIED as 28 (CANDIDATE, conf=0.56)
track 1038: IDENTIFIED as 11 (UNKNOWN, conf=0.59)
track 1039: NOT RECOGNIZED — face never detected (22 looks)
track 1040: IDENTIFIED as 11 (UNKNOWN, conf=0.62)
track 1041: NOT RECOGNIZED — face never detected (5 looks)
track 1042: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 1043: IDENTIFIED as 11 (UNKNOWN, conf=0.60)
track 1046: NOT RECOGNIZED — best sim 0.26 -> 14 (threshold 0.45)
track 1048: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 1050: NOT RECOGNIZED — face never detected (4 looks)
track 1051: IDENTIFIED as 28 (CONFIRMED, conf=0.62)
track 1052: NOT RECOGNIZED — face never detected (1 looks)
track 1055: NOT RECOGNIZED — best sim 0.26 -> 08 (threshold 0.45)
track 1056: IDENTIFIED as 28 (CANDIDATE, conf=0.59)
track 1057: NOT RECOGNIZED — best sim 0.34 -> 28 (threshold 0.45)
track 1059: IDENTIFIED as 11 (UNKNOWN, conf=0.62)
track 1062: NOT RECOGNIZED — face never detected (1 looks)
track 1064: IDENTIFIED as 29 (UNKNOWN, conf=0.56)
track 1065: NOT RECOGNIZED — face never detected (10 looks)
track 1066: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 1067: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 1068: NOT RECOGNIZED — face never detected (31 looks)
track 1069: NOT RECOGNIZED — face never detected (47 looks)
track 1070: IDENTIFIED as 11 (UNKNOWN, conf=0.61)
track 1071: NOT RECOGNIZED — face never detected (9 looks)
track 1072: NOT RECOGNIZED — face never detected (18 looks)
track 1073: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 1075: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 1076: NOT RECOGNIZED — face never detected (79 looks)
track 1077: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 1078: IDENTIFIED as 11 (UNKNOWN, conf=0.56)
track 1079: IDENTIFIED as 11 (UNKNOWN, conf=0.56)
track 1081: NOT RECOGNIZED — best sim 0.29 -> 18 (threshold 0.45)
track 1082: IDENTIFIED as 28 (CANDIDATE, conf=0.52)
track 1083: NOT RECOGNIZED — face never detected (23 looks)
track 1084: IDENTIFIED as 11 (UNKNOWN, conf=0.45)
track 1087: IDENTIFIED as 05 (UNKNOWN, conf=0.45)
track 1088: NOT RECOGNIZED — face never detected (21 looks)
track 1089: NOT RECOGNIZED — face never detected (10 looks)
track 1090: NOT RECOGNIZED — face never detected (16 looks)
